Starting_Point,Ending_Point,PassCompletion,Team,TypeOfPass
"(41, 86)","(41, 86)",no pass attempted,Green,Normal Pass
"(41, 86)","(41, 86)",no pass attempted,Green,Normal Pass
"(40, 86)","(40, 86)",no pass attempted,Green,Normal Pass
"(40, 86)","(40, 86)",no pass attempted,Green,Normal Pass
"(40, 86)","(40, 86)",no pass attempted,Green,Normal Pass
"(40, 86)","(40, 86)",no pass attempted,Green,Normal Pass
"(40, 86)","(40, 86)",no pass attempted,Green,Normal Pass
"(40, 86)","(32, 70)",pass completed,Green,Normal Pass
"(32, 70)","(46, 74)",pass completed,Green,Normal Pass
"(46, 74)","(32, 69)",pass completed,Green,Normal Pass
"(32, 69)","(32, 69)",no pass attempted,Green,Normal Pass
"(33, 69)","(33, 69)",no pass attempted,Green,Normal Pass
"(35, 68)","(35, 68)",no pass attempted,Blue,Normal Pass
"(32, 68)","(32, 68)",no pass attempted,Green,Normal Pass
"(33, 70)","(33, 70)",no pass attempted,Green,Normal Pass
"(33, 70)","(33, 70)",no pass attempted,Green,Normal Pass
"(33, 70)","(33, 70)",no pass attempted,Green,Normal Pass
"(33, 70)","(33, 70)",no pass attempted,Green,Normal Pass
"(33, 70)","(33, 70)",no pass attempted,Green,Normal Pass
"(36, 69)","(36, 69)",no pass attempted,Blue,Normal Pass
"(36, 69)","(36, 69)",no pass attempted,Blue,Normal Pass
"(36, 69)","(36, 69)",no pass attempted,Blue,Normal Pass
"(36, 69)","(36, 69)",no pass attempted,Blue,Normal Pass
"(36, 69)","(36, 69)",no pass attempted,Blue,Normal Pass
"(36, 69)","(36, 69)",no pass attempted,Blue,Normal Pass
"(36, 69)","(36, 69)",no pass attempted,Blue,Normal Pass
"(36, 69)","(36, 69)",no pass attempted,Blue,Normal Pass
"(36, 69)","(36, 69)",no pass attempted,Blue,Normal Pass
"(36, 69)","(36, 69)",no pass attempted,Blue,Normal Pass
"(36, 69)","(36, 69)",no pass attempted,Blue,Normal Pass
"(36, 67)","(36, 67)",no pass attempted,Blue,Normal Pass
"(37, 69)","(37, 69)",no pass attempted,Blue,Normal Pass
"(37, 70)","(37, 70)",no pass attempted,Blue,Normal Pass
"(37, 70)","(37, 70)",no pass attempted,Blue,Normal Pass
"(37, 70)","(37, 70)",no pass attempted,Blue,Normal Pass
"(39, 72)","(39, 72)",no pass attempted,Blue,Normal Pass
"(39, 72)","(39, 72)",no pass attempted,Blue,Normal Pass
"(39, 72)","(39, 72)",no pass attempted,Blue,Normal Pass
"(39, 72)","(39, 72)",no pass attempted,Blue,Normal Pass
"(39, 72)","(39, 72)",no pass attempted,Blue,Normal Pass
"(39, 72)","(39, 72)",no pass attempted,Blue,Normal Pass
"(37, 67)","(37, 67)",no pass attempted,Blue,Normal Pass
"(37, 67)","(37, 67)",no pass attempted,Blue,Normal Pass
"(37, 67)","(37, 67)",no pass attempted,Blue,Normal Pass
"(37, 67)","(37, 67)",no pass attempted,Blue,Normal Pass
