frame,x,y,,,,,,,,,,,,,,,,,,,,
86,106.4347826,44.86486486,,,,,,,,,,,,,,,,,,,,
87,107.4782609,31.08108108,,,,,,,,,,,,,,,,,,,,
87,95.60869565,41.89189189,,,,,,,,,,,,,,,,,,,,
87,105.7826087,46.75675676,,,,,,,,,,,,,,,,,,,,
87,111.9130435,46.89189189,,,,,,,,,,,,,,,,,,,,
87,110.8695652,40.27027027,,,,,,,,,,,,,,,,,,,,
87,106.4347826,44.72972973,,,,,,,,,,,,,,,,,,,,
88,107.6086957,31.08108108,,,,,,,,,,,,,,,,,,,,
88,95.73913043,42.02702703,,,,,,,,,,,,,,,,,,,,
88,105.9130435,46.75675676,,,,,,,,,,,,,,,,,,,,
88,111.6521739,47.2972973,,,,,,,,,,,,,,,,,,,,
88,110.8695652,40.13513514,,,,,,,,,,,,,,,,,,,,
88,106.4347826,44.72972973,,,,,,,,,,,,,,,,,,,,
89,107.6086957,31.35135135,,,,,,,,,,,,,,,,,,,,
89,95.73913043,41.75675676,,,,,,,,,,,,,,,,,,,,
89,111.5217391,47.2972973,,,,,,,,,,,,,,,,,,,,
89,110.7391304,40.40540541,,,,,,,,,,,,,,,,,,,,
90,107.6086957,31.62162162,,,,,,,,,,,,,,,,,,,,
90,95.86956522,41.62162162,,,,,,,,,,,,,,,,,,,,
90,111.5217391,47.2972973,,,,,,,,,,,,,,,,,,,,
90,110.7391304,40.40540541,,,,,,,,,,,,,,,,,,,,
91,107.6086957,32.16216216,,,,,,,,,,,,,,,,,,,,
91,96,41.62162162,,,,,,,,,,,,,,,,,,,,
91,111.3913043,47.43243243,,,,,,,,,,,,,,,,,,,,
91,110.7391304,40.40540541,,,,,,,,,,,,,,,,,,,,
92,107.3478261,33.24324324,,,,,,,,,,,,,,,,,,,,
92,111.7826087,47.16216216,,,,,,,,,,,,,,,,,,,,
92,96.26086957,41.08108108,,,,,,,,,,,,,,,,,,,,
92,110.7391304,40.27027027,,,,,,,,,,,,,,,,,,,,
93,107.3478261,33.37837838,,,,,,,,,,,,,,,,,,,,
93,111.9130435,47.02702703,,,,,,,,,,,,,,,,,,,,
93,96.39130435,41.08108108,,,,,,,,,,,,,,,,,,,,
93,110.8695652,40.27027027,,,,,,,,,,,,,,,,,,,,
94,107.4782609,33.37837838,,,,,,,,,,,,,,,,,,,,
94,111.9130435,47.02702703,,,,,,,,,,,,,,,,,,,,
94,96.39130435,41.08108108,,,,,,,,,,,,,,,,,,,,
94,110.8695652,40.13513514,,,,,,,,,,,,,,,,,,,,
95,108,32.7027027,,,,,,,,,,,,,,,,,,,,
95,111.2608696,47.7027027,,,,,,,,,,,,,,,,,,,,
95,105.6521739,41.48648649,,,,,,,,,,,,,,,,,,,,
95,95.86956522,42.7027027,,,,,,,,,,,,,,,,,,,,
95,106.5652174,44.45945946,,,,,,,,,,,,,,,,,,,,
