x_Point,y_Point,PressureRating,Team,TimeStamp
30,51,0,Blue,20.74
30,51,0,Blue,20.74
30,51,0,Blue,20.75
30,50,0,Blue,20.77
30,50,0,Blue,20.79
30,50,0,Blue,20.8
30,50,0,Blue,20.82
29,50,0,Blue,20.84
29,50,0,Blue,20.85
29,50,0,Blue,20.87
29,50,0,Blue,20.89
29,49,1,Blue,20.92
28,49,1,Blue,20.94
28,49,1,Blue,20.95
28,49,1,Blue,20.95
28,49,1,Blue,20.97
28,49,1,Blue,20.99
28,49,2,Blue,21.02
28,49,2,Blue,21.04
28,49,2,Blue,21.05
29,46,1,Red,21.07
27,49,1,Blue,21.09
27,49,2,Blue,21.1
35,33,0,Blue,21.6
35,33,0,Blue,21.64
34,36,0,Blue,21.65
34,36,0,Blue,21.71
33,37,0,Blue,21.77
33,37,0,Blue,21.79
33,33,0,Blue,21.81
33,33,0,Blue,21.89
30,38,0,Blue,22.32
29,38,4,Blue,22.51
29,37,0,Blue,22.52
